pattern,direction,occurrences,evaluated,horizon_bars,win_rate,avg_return_pct,avg_win_pct,avg_loss_pct,profit_factor,sharpe,t_stat,p_value,significant,expectancy_pips
combo_bear_engulf_rsi_vol,short,341,341,12,46.63,-0.032379,0.198956,-0.234479,0.741,-0.0966,-1.783,0.075404,False,-4684.93
combo_hammer_bb_lower,long,1741,1741,1,49.17,0.001039,0.066218,-0.062005,1.033,0.0105,0.437,0.662296,False,145.74
combo_hammer_bb_lower,long,1741,1741,3,50.2,0.005874,0.114375,-0.103502,1.114,0.0336,1.402,0.161065,False,824.18
combo_hammer_bb_lower,long,1741,1741,6,49.74,-0.004993,0.152391,-0.160759,0.938,-0.0193,-0.807,0.419568,False,-700.61
combo_hammer_bb_lower,long,1741,1741,12,51.29,-0.006013,0.204756,-0.227968,0.946,-0.0176,-0.735,0.462514,False,-843.72
combo_shootstar_bb_upper,short,1585,1585,1,48.96,-0.002421,0.065195,-0.067278,0.93,-0.0229,-0.911,0.362338,False,-340.37
combo_shootstar_bb_upper,short,1585,1585,3,50.03,-0.00618,0.106407,-0.118909,0.896,-0.0321,-1.277,0.201643,False,-869.01
combo_shootstar_bb_upper,short,1585,1585,6,51.04,-0.009039,0.148706,-0.173492,0.894,-0.0331,-1.318,0.187559,False,-1271.03
combo_shootstar_bb_upper,short,1585,1585,12,52.74,-0.004592,0.202577,-0.235825,0.959,-0.0136,-0.542,0.587822,False,-645.68
combo_macd_stoch_bull,long,331,331,1,54.98,0.008431,0.059444,-0.05388,1.348,0.0901,1.639,0.102125,False,1176.54
combo_macd_stoch_bull,long,331,331,3,55.59,0.018917,0.108269,-0.092925,1.458,0.1225,2.228,0.026532,True,2639.73
combo_macd_stoch_bull,long,331,331,6,56.8,0.015977,0.135826,-0.141585,1.261,0.0724,1.318,0.188417,False,2229.52
combo_macd_stoch_bull,long,331,331,12,55.89,0.00293,0.182518,-0.22463,1.03,0.0096,0.174,0.861976,False,408.92
combo_macd_stoch_bear,short,530,530,1,48.11,-0.002832,0.049878,-0.051709,0.894,-0.033,-0.759,0.448393,False,-416.36
combo_macd_stoch_bear,short,530,530,3,51.89,-0.004898,0.079414,-0.095822,0.894,-0.0388,-0.893,0.372146,False,-720.09
combo_macd_stoch_bear,short,530,529,6,50.28,-0.005191,0.114945,-0.126697,0.918,-0.0298,-0.685,0.493631,False,-762.67
combo_macd_stoch_bear,short,530,529,12,49.15,-0.020786,0.151747,-0.187546,0.782,-0.0857,-1.971,0.049289,True,-3054.13
combo_london_trend_bull,long,450,450,1,47.56,0.007887,0.061253,-0.040504,1.371,0.107,2.269,0.023756,True,1119.49
combo_london_trend_bull,long,450,450,3,49.78,0.009418,0.088141,-0.068608,1.273,0.0836,1.773,0.076936,False,1336.76
combo_london_trend_bull,long,450,450,6,46.44,0.00392,0.130394,-0.10576,1.069,0.0232,0.492,0.622797,False,556.4
combo_london_trend_bull,long,450,450,12,46.89,-0.001427,0.205418,-0.18404,0.985,-0.0055,-0.117,0.907306,False,-202.6
combo_london_trend_bear,short,380,380,1,45.79,-0.002144,0.053998,-0.049564,0.92,-0.027,-0.527,0.598788,False,-303.56
combo_london_trend_bear,short,380,380,3,44.21,0.002329,0.122651,-0.09302,1.045,0.0132,0.258,0.796464,False,329.87
combo_london_trend_bear,short,380,380,6,46.84,0.005235,0.156191,-0.127786,1.077,0.0241,0.47,0.638905,False,741.39
combo_london_trend_bear,short,380,380,12,53.68,0.047686,0.249693,-0.186459,1.552,0.149,2.904,0.003899,True,6753.29
combo_ny_momentum_bull,long,1929,1929,1,43.08,-0.000839,0.06392,-0.049851,0.97,-0.0095,-0.419,0.675359,False,-119.23
combo_ny_momentum_bull,long,1929,1929,3,46.71,-0.001781,0.106339,-0.096543,0.965,-0.0115,-0.507,0.612549,False,-253.01
combo_ny_momentum_bull,long,1929,1929,6,45.72,-0.007974,0.16203,-0.151186,0.903,-0.0352,-1.544,0.122695,False,-1133.09
combo_ny_momentum_bull,long,1929,1929,12,46.29,-0.036017,0.287287,-0.314695,0.787,-0.0838,-3.68,0.00024,True,-5118.01
combo_ny_momentum_bear,short,1964,1964,1,45.26,0.00095,0.068964,-0.055296,1.031,0.0097,0.429,0.667681,False,136.04
combo_ny_momentum_bear,short,1964,1964,3,45.98,-1e-05,0.114786,-0.097711,1.0,-0.0001,-0.003,0.99782,False,-1.47
combo_ny_momentum_bear,short,1964,1964,6,45.98,-0.00126,0.188344,-0.162628,0.986,-0.0048,-0.212,0.832287,False,-180.41
combo_ny_momentum_bear,short,1964,1964,12,47.66,0.005332,0.355533,-0.313528,1.032,0.0107,0.475,0.634674,False,763.55
combo_bb_squeeze_bull,long,3371,3371,1,50.31,0.00343,0.063879,-0.057776,1.119,0.0356,2.067,0.038773,True,494.78
combo_bb_squeeze_bull,long,3371,3371,3,51.47,0.006126,0.10727,-0.101139,1.125,0.0389,2.261,0.023808,True,883.49
combo_bb_squeeze_bull,long,3371,3371,6,51.02,0.009287,0.153818,-0.141284,1.134,0.0429,2.488,0.012881,True,1339.49
combo_bb_squeeze_bull,long,3371,3371,12,50.49,0.00296,0.196472,-0.194378,1.031,0.0105,0.608,0.542957,False,426.87
combo_bb_squeeze_bear,short,3344,3344,1,46.83,-0.002823,0.063593,-0.061319,0.913,-0.0275,-1.592,0.111368,False,-407.93
combo_bb_squeeze_bear,short,3344,3344,3,47.31,-0.006047,0.11163,-0.111702,0.897,-0.0349,-2.02,0.043515,True,-873.94
combo_bb_squeeze_bear,short,3344,3344,6,47.43,-0.016687,0.143847,-0.161515,0.803,-0.0722,-4.178,3e-05,True,-2411.72
combo_bb_squeeze_bear,short,3344,3344,12,49.37,-0.011285,0.19328,-0.210774,0.894,-0.0382,-2.207,0.027401,True,-1630.93
combo_3soldiers_trend,long,3291,3291,1,43.6,-0.001946,0.078087,-0.063826,0.946,-0.0157,-0.902,0.367131,False,-281.33
combo_3soldiers_trend,long,3291,3291,3,45.18,-0.000973,0.122051,-0.10238,0.983,-0.0053,-0.303,0.762131,False,-140.69
combo_3soldiers_trend,long,3291,3291,6,46.03,-0.002996,0.169468,-0.150115,0.963,-0.0117,-0.672,0.501645,False,-433.11
combo_3soldiers_trend,long,3291,3291,12,46.31,-0.002326,0.231747,-0.204209,0.979,-0.0071,-0.407,0.683916,False,-336.23
combo_3crows_trend,short,3056,3056,1,40.31,-0.01183,0.080586,-0.074251,0.733,-0.0979,-5.413,0.0,True,-1668.82
combo_3crows_trend,short,3056,3056,3,38.91,-0.022226,0.127292,-0.117447,0.69,-0.1192,-6.588,0.0,True,-3135.35
combo_3crows_trend,short,3056,3056,6,41.82,-0.018086,0.179258,-0.159934,0.806,-0.0687,-3.798,0.000149,True,-2551.31
combo_3crows_trend,short,3056,3056,12,43.68,-0.028751,0.235424,-0.233674,0.782,-0.0811,-4.481,8e-06,True,-4055.7
combo_rsi_div_support,long,3261,3261,1,53.7,-0.001234,0.074121,-0.088616,0.97,-0.0083,-0.472,0.63709,False,-173.18
combo_rsi_div_support,long,3261,3261,3,55.01,0.001191,0.122362,-0.146991,1.018,0.0053,0.304,0.761331,False,167.06
combo_rsi_div_support,long,3261,3261,6,55.57,0.006527,0.166129,-0.193058,1.076,0.0234,1.336,0.181558,False,915.88
combo_rsi_div_support,long,3261,3261,12,54.22,0.002658,0.231894,-0.268801,1.022,0.007,0.397,0.691051,False,373.03
